NR;ID;FEED;TREN;VA;KA;VB;KB;left;right;NV;NK;Dwustronna;TYP;Koment
1;T1;1;1;0,3;[(3,0)];0,3;[(0,3)];3,0;0,3;2;1;0;1;
2;T2;1;1;0,3;[(3,0)];1,3;[(1,3)];3,1;0,3;2;1;0;1;
3;T3;1;1;0,4;[(0,4)];1,3;[(3,1)];0,3;4,1;2;1;0;1;
4;T4;1;1;0,1,3;[(3,0),(0,1)];1,3,4;[(4,1),(1,3)];3,4;1,3;3;2;0;1;a
5;T5;1;1;0,1,3;[(3,0),(0,1)];0,1,4;[(0,1),(1,4)];0,1;1,4;3;2;0;1;a
6;T6;1;1;0,1,3;[(3,0),(0,1),(1,0)];1,3,4;[(4,1),(1,0),(0,1)];3,4;1,0;3;2;1;1;
7;T8;1;1;0,1,3,4;[(3,0),(0,1),(1,4)];0,1,3,4;[(0,1),(1,4),(4,3)];0,1;1,4;4;3;0;2;
1;1;1;0;0,1,3;[(3,0),(0,1),(3,1)];0,3,4;[(4,3),(4,0),(3,0)];3,4;1,0;3;3;0;1;
2;2;1;0;0,1,3;[(3,0),(0,1),(3,1)];0,1,3;[(1,3),(1,0),(3,0)];3,1;0,3;3;3;0;1;
3;3;1;0;0,1,3;[(3,0),(0,1),(1,3),(3,1)];0,1,3;[(0,1),(1,0),(1,3),(3,1)];0,3;3,1;3;3;1;1;
4;4;1;0;0,1,3;[(3,0),(0,1),(1,3),(3,1)];0,1,3;[(1,0),(1,3),(3,1),(0,3)];3,1;1,3;3;3;1;1;
5;5;1;0;0,1,3;[(0,1),(1,0),(0,3),(3,0),(3,1)];0,1,3;[(0,1),(1,0),(3,0),(1,3),(3,1)];3,3;1,0;3;3;2;1;
6;6;1;0;0,1,3;[(0,1),(1,0),(0,3),(3,0),(3,1)];0,1,3;[(0,1),(1,0),(0,3),(3,0),(1,3)];0,0;3,1;3;3;2;1;
7;1;1;0;0,1,3,4;[(3,4),(4,1),(1,0)];0,1,3,4;[(3,4),(0,3),(1,0)];0,4;3,1;4;3;0;1;kolejnoœæ
8;2;1;0;0,1,3,4;[(0,3),(4,1),(1,0)];0,1,3,4;[(0,1),(1,3),(3,4)];4,0;3,4;4;3;0;1;kolejnoœæ
9;3;1;0;0,1,3,4;[(0,1),(1,3),(3,4)];0,1,3,4;[(3,0),(1,3),(4,1)];0,4;4,0;4;3;0;1;kolejnoœæ
10;4;1;0;0,1,3,4;[(0,1),(1,4),(4,3)];0,1,3,4;[(3,0),(0,1),(1,4)];0,3;4,1;4;3;0;1;kolejnoœæ
11;5;1;0;0,1,3,4;[(0,1),(1,4),(4,3)];0,1,3,4;[(4,1),(1,3),(3,0)];3,0;4,3;4;3;0;1;kolejnoœæ
12;111;1;0;0,1,3,4;[(0,1),(1,3),(3,4)];0,1,3,4;[(0,1),(1,3),(4,0)];0,4;1,0;4;3;0;1;RRR
13;222;1;0;0,1,3,4;[(0,1),(1,3),(1,4)];0,1,3,4;[(1,0),(3,1),(1,4)];0,3;1,1;4;3;0;1;RRR
14;333;1;0;0,1,3,4;[(0,1),(3,1),(1,4)];0,1,3,4;[(0,3),(1,3),(3,4)];1,3;3,4;4;3;0;1;RRR
15;444;1;0;0,1,3,4;[(1,0),(3,1),(1,4),(4,1)];0,1,3,4;[(4,3),(3,0),(1,3),(3,1)];0,0;4,1;4;3;1;1;RRR
16;4;1;0;0,1,3,4;[(1,4),(3,0),(3,4),(4,3)];0,1,3,4;[(1,4),(0,3),(0,4),(4,0)];1,1;4,4;4;3;1;1;GGG
17;5;1;0;0,1,3,4;[(1,4),(3,0),(3,4),(4,3)];0,1,3,4;[(1,4),(0,3),(1,3),(3,1)];3,1;4,3;4;3;1;1;GGG
18;6;1;0;0,1,3,4;[(0,1),(3,0),(0,3),(4,3)];0,1,3,4;[(1,0),(3,0),(0,3),(3,4)];0,3;1,4;4;3;1;1;GGG
19;7;1;0;0,1,3,4;[(3,0),(0,1),(1,4)];0,1,3,4;[(3,0),(4,3),(1,4)];0,4;1,3;4;3;0;2;kolejnoœæ
20;8;1;0;0,1,3,4;[(3,0),(0,1),(1,4)];0,1,3,4;[(0,4),(4,1),(1,3)];0,4;1,1;4;3;0;2;kolejnoœæ
21;9;1;0;0,1,3,4;[(0,1),(3,4),(4,1)];0,1,3,4;[(1,0),(0,3),(4,3)];1,3;0,4;4;3;0;1;trójki  -21
22;10;1;0;0,1,3,4;[(4,1),(4,0),(0,3)];0,1,3,4;[(1,0),(3,1),(3,4)];0,1;4,3;4;3;0;1;trójki -25
23;11;1;0;0,1,3,4;[(0,1),(3,4),(4,1)];0,1,3,4;[(0,4),(1,0),(3,4)];1,4;4,3;4;3;0;1;trójki -28
24;14;1;0;0,1,3,4;[(0,1),(0,4),(1,4),(3,4)];0,1,3,4;[(3,0),(4,0),(1,0),(1,4)];0,1;4,0;4;4;0;1;ccc
25;15;1;0;0,1,3,4;[(0,1),(0,4),(1,4),(3,4)];0,1,3,4;[(0,1),(0,3),(1,3),(4,3)];4,3;1,1;4;4;0;1;ccc
26;441;1;0;0,1,3,4;[(1,4),(4,1),(4,3),(3,0),(0,1)];0,3,4,6;[(0,4),(4,0),(0,3),(3,6),(6,3)];1,4;4,0;4;4;1;1;czwórki 
27;442;1;0;0,1,3,4;[(1,4),(4,1),(4,3),(3,0),(0,1)];1,3,4,7;[(1,4),(4,1),(4,7),(7,3),(3,1)];0,3;4,4;4;4;1;1;czwórki
28;443;1;0;0,1,3,4;[(1,4),(4,1),(4,3),(3,0),(0,1)];1,3,4,6;[(1,3),(3,1),(1,4),(4,6),(6,3)];1,3;3,4;4;4;1;1;czwórki
29;20;1;0;0,1,3,4;[(0,4),(4,0),(0,3),(0,1),(3,4),(4,1)];0,1,3,4;[(3,1),(1,3),(3,0),(3,4),(0,1),(1,4)];0,3;4,1;4;5;1;1;//
30;22;1;0;0,1,3,4;[(3,1),(1,3),(3,0),(3,4),(0,1),(1,4)];0,1,3,4;[(0,4),(4,0),(0,3),(0,1),(3,4),(4,1)];0,3;4,1;4;5;1;1;//
