ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 17:02,1,1,train,"[8, 5]","[(5, 8)]","[2, 1]","[(2, 1)]","[2, 5]","[1, 8]",2,1,,,5,8,True,True,True,1.2785945001523942,2.1776192001998425,2.1776192001998425
,M,,2020-12-30 17:02,2,2,train,"[0, 1]","[(1, 0)]","[7, 3]","[(7, 3)]","[7, 1]","[3, 0]",2,1,,,1,,True,False,False,1.0256534998770803,,
,M,,2020-12-30 17:02,3,3,train,"[0, 4]","[(0, 4)]","[7, 5]","[(5, 7)]","[5, 0]","[7, 4]",2,1,,,0,4,True,True,True,1.2300876998342574,2.8959460000041872,2.8959460000041872
,M,,2020-12-30 17:02,4,4,train,"[8, 5, 7]","[(7, 8), (8, 5)]","[7, 5, 4]","[(4, 7), (7, 5)]","[4, 7]","[5, 5]",3,2,,,5,5,False,True,False,2.9318661000579596,0.8827620998490602,2.9318661000579596
,M,,2020-12-30 17:02,5,5,train,"[8, 7, 4]","[(8, 7), (7, 4)]","[8, 5, 7]","[(7, 8), (8, 5)]","[4, 7]","[5, 8]",3,2,,,4,4,False,False,False,3.0480259000323713,0.6664171998854727,3.0480259000323713
,M,,2020-12-30 17:02,6,6,train,"[2, 1, 4]","[(4, 1), (1, 2), (2, 1)]","[8, 7, 5]","[(5, 8), (8, 7), (7, 8)]","[1, 8]","[5, 4]",3,2,,,7,7,False,False,False,2.5417851000092924,0.891509200213477,2.5417851000092924
,M,,2020-12-30 17:02,7,7,train,"[2, 1, 0]","[(2, 1), (1, 0), (0, 1)]","[5, 4, 3]","[(5, 4), (4, 3), (3, 4)]","[2, 5]","[0, 3]",2,1,,,5,5,True,False,False,3.1502219000831246,1.9175227999221534,3.1502219000831246
,M,,2020-12-30 17:02,8,8,train,"[0, 3, 1, 4]","[(1, 0), (0, 3), (3, 4)]","[0, 1, 3, 4]","[(0, 1), (1, 4), (4, 3)]","[1, 0]","[4, 3]",4,3,,,1,1,False,False,False,6.795790200121701,2.4291791999712586,6.795790200121701
,M,,2020-12-30 17:02,1,1,exp,"[8, 5]","[(5, 8)]","[6, 3]","[(6, 3)]","[5, 6]","[8, 3]",2,1,,,3,6,False,False,False,1.550260999938473,6.132253299932927,6.132253299932927
,M,,2020-12-30 17:02,2,1,exp,"[6, 7, 3]","[(3, 6), (6, 7), (3, 7)]","[2, 1, 4]","[(4, 1), (4, 2), (1, 2)]","[3, 4]","[7, 2]",3,3,,,4,2,True,True,True,0.8553852001205087,4.953897200059146,4.953897200059146
,M,,2020-12-30 17:02,3,2,exp,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[2, 5, 1]","[(5, 1), (5, 2), (1, 2)]","[5, 3]","[1, 0]",3,3,,,,3,False,False,False,,3.733728399965912,
