ID,SEX,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_ACC,RIGHT_ACC,ACC,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 11:05,1,1,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 3, 4]","[(4, 3), (4, 0), (3, 0)]","[4, 3]","[0, 1]",3,3,,,3,1,True,True,True,2.660655900137499,3.4775748001411557,3.4775748001411557
,M,,2020-12-30 11:05,2,2,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 1, 3]","[(1, 3), (1, 0), (3, 0)]","[3, 1]","[0, 3]",3,3,,,3,0,False,False,False,0.6777834999375045,1.5270471000112593,1.5270471000112593
,M,,2020-12-30 11:05,3,3,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (1, 3), (3, 0)]","[3, 0]","[1, 3]",3,3,,,3,1,False,False,False,0.9451491001527756,1.577892899978906,1.577892899978906
,M,,2020-12-30 11:05,4,4,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(1, 0), (1, 3), (3, 1), (0, 3)]","[1, 3]","[3, 1]",3,3,,,3,1,True,True,True,1.0136345999781042,2.147203299915418,2.147203299915418
,M,,2020-12-30 11:05,5,5,exp,0,"[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (3, 0), (1, 3), (3, 1)]","[3, 3]","[0, 1]",3,3,,,3,0,True,False,False,1.0686369000468403,1.6348391000647098,1.6348391000647098
,M,,2020-12-30 11:05,6,6,exp,0,"[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (1, 3)]","[0, 0]","[1, 3]",3,3,,,3,1,False,False,False,0.9974228998180479,1.6636206000111997,1.6636206000111997
,M,,2020-12-30 11:05,7,7,exp,0,"[0, 1, 3, 4]","[(3, 4), (4, 1), (1, 0)]","[0, 1, 3, 4]","[(3, 4), (0, 3), (1, 0)]","[0, 4]","[3, 1]",4,3,,,3,4,False,False,False,1.1210175999440253,1.904248199891299,1.904248199891299
,M,,2020-12-30 11:05,8,8,exp,0,"[0, 1, 3, 4]","[(0, 1), (1, 4), (4, 3)]","[0, 1, 3, 4]","[(3, 0), (0, 1), (1, 4)]","[0, 3]","[4, 1]",4,3,,,3,0,True,False,False,0.7015758999623358,1.2512924999464303,1.2512924999464303
,M,,2020-12-30 11:05,9,9,exp,0,"[0, 1, 3, 4]","[(0, 1), (1, 4), (4, 3)]","[0, 1, 3, 4]","[(4, 1), (1, 3), (3, 0)]","[0, 3]","[3, 4]",4,3,,,4,1,False,False,False,0.5858970999252051,1.7685557999648154,1.7685557999648154
,M,,2020-12-30 11:05,10,10,exp,0,"[0, 1, 3, 4]","[(0, 1), (1, 3), (3, 4)]","[0, 1, 3, 4]","[(0, 1), (1, 3), (4, 0)]","[0, 4]","[1, 0]",4,3,,,3,1,False,False,False,0.5518948999233544,1.1854329998604953,1.1854329998604953
,M,,2020-12-30 11:05,11,11,exp,0,"[0, 1, 3, 4]","[(0, 1), (1, 3), (1, 4)]","[0, 1, 3, 4]","[(1, 0), (3, 1), (1, 4)]","[3, 0]","[1, 1]",4,3,,,4,0,False,False,False,0.6670468999072909,1.2166369000915438,1.2166369000915438
