ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 14:37,1,2,train,0,"[0, 3]","[(3, 0)]","[1, 3]","[(1, 3)]","[3, 1]","[0, 3]",2,1,,,1,3,True,True,True,0.9452296998351812,1.6454504998400807,1.6454504998400807
,M,,2020-12-30 14:37,2,3,train,0,"[0, 4]","[(0, 4)]","[1, 3]","[(3, 1)]","[0, 3]","[4, 1]",2,1,,,3,1,True,True,True,0.5600541001185775,1.3099994000513107,1.3099994000513107
,M,,2020-12-30 14:37,3,4,train,0,"[0, 1, 3]","[(3, 0), (0, 1)]","[1, 3, 4]","[(4, 1), (1, 3)]","[3, 4]","[1, 3]",3,2,,,4,3,True,True,True,1.018213100032881,2.067272000014782,2.067272000014782
,M,,2020-12-30 14:37,4,5,train,0,"[0, 1, 3]","[(3, 0), (0, 1)]","[0, 1, 4]","[(0, 1), (1, 4)]","[0, 1]","[1, 4]",3,2,,,1,4,True,True,True,3.1449206999968737,3.6741611000616103,3.6741611000616103
,M,,2020-12-30 14:37,5,6,train,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 0)]","[0, 1, 4]","[(4, 1), (1, 0), (0, 1)]","[3, 4]","[1, 0]",3,2,,,4,0,True,True,True,1.6106346999295056,2.176679299911484,2.176679299911484
,M,,2020-12-30 14:37,6,7,train,0,"[0, 1, 2]","[(0, 1), (1, 2), (2, 1)]","[1, 4, 7]","[(1, 4), (4, 7), (7, 4)]","[0, 1]","[2, 7]",2,1,,,1,7,True,True,True,1.6927976999431849,2.392507700016722,2.392507700016722
,M,,2020-12-30 14:37,7,8,train,0,"[0, 1, 3, 4]","[(3, 0), (0, 1), (1, 4)]","[0, 1, 3, 4]","[(0, 1), (1, 4), (4, 3)]","[0, 1]","[1, 4]",4,3,,,1,4,True,True,True,1.6496157997753471,2.2659917999990284,2.2659917999990284
,M,,2020-12-30 14:37,1,1,exp,0,"[0, 3]","[(3, 0)]","[0, 3]","[(0, 3)]","[3, 0]","[0, 3]",2,1,,,0,3,True,True,True,0.9173134001903236,1.4993677001912147,1.4993677001912147
,M,,2020-12-30 14:37,2,1,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 3, 4]","[(4, 3), (4, 0), (3, 0)]","[3, 4]","[1, 0]",3,3,,,4,0,True,True,True,1.6488488998729736,2.3148640000727028,2.3148640000727028
,M,,2020-12-30 14:37,3,2,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 1, 3]","[(1, 3), (1, 0), (3, 0)]","[3, 1]","[0, 3]",3,3,,,1,3,True,True,True,2.4461354999803007,2.970812000101432,2.970812000101432
,M,,2020-12-30 14:37,4,3,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (1, 3), (3, 0)]","[0, 3]","[3, 1]",3,3,,,1,3,False,False,False,3.7718406999483705,4.3546060000080615,4.3546060000080615
,M,,2020-12-30 14:37,5,4,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(1, 0), (1, 3), (3, 1), (0, 3)]","[3, 1]","[1, 3]",3,3,,,1,0,True,False,False,0.39466580003499985,1.1444987999275327,1.1444987999275327
,M,,2020-12-30 14:37,6,5,exp,0,"[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (3, 0), (1, 3), (3, 1)]","[3, 3]","[1, 0]",3,3,,,3,0,True,True,True,0.7324334001168609,1.279964900109917,1.279964900109917
,M,,2020-12-30 14:37,7,6,exp,0,"[0, 1, 2, 3, 4, 6]","[(6, 3), (0, 3), (0, 4), (4, 0), (4, 1), (1, 2)]","[0, 1, 2, 3, 4, 5]","[(0, 3), (3, 0), (0, 4), (3, 1), (1, 2), (5, 4)]","[0, 0]","[4, 3]",6,6,,,1,,False,False,False,5.183006200008094,,
